Parameter,Coefficient,SE,CI_low,CI_high,z,p,Scenario,Level
ScenarioPN:SizeMegacarnivore,0.7301472847562407,0.17066943405528556,0.3956413407460473,1.064653228766434,4.278137375903651,1.884637024701384e-5,PN,Megacarnivore
ScenarioCU:SizeMegacarnivore,-0.5116004609400172,0.1851333858145328,-0.8744552294724599,-0.14874569240757446,-2.7634154622577913,0.005719990738486537,CU,Megacarnivore
ScenarioRW:SizeMegacarnivore,0.08784058542186372,0.1761008811826247,-0.2573107993418479,0.4329919701855754,0.4988083241376231,0.6179144227891777,RW,Megacarnivore
ScenarioPN:SizeMegaherbivore,1.0388153174151302,0.16901310738554864,0.7075557140242543,1.3700749208060061,6.1463594953343454,7.92814863938361e-10,PN,Megaherbivore
ScenarioCU:SizeMegaherbivore,-0.7535289289612551,0.1902760218334143,-1.126463078876304,-0.3805947790462062,-3.9601885813072437,7.48905989942722e-5,CU,Megaherbivore
ScenarioRW:SizeMegaherbivore,-0.14189387251435998,0.17890373886973682,-0.4925387573986026,0.20875101236988264,-0.7931297211047981,0.42770224823701003,RW,Megaherbivore
ScenarioPN:SizeMesocarnivore,1.2971894532724795,0.16774248540358944,0.9684202232042085,1.6259586833407504,7.733219465250165,1.0486029390344603e-14,PN,Mesocarnivore
ScenarioCU:SizeMesocarnivore,0.9475987857674038,0.1691351878491077,0.6160999090647361,1.2790976624700714,5.60261172035233,2.111458553386491e-8,CU,Mesocarnivore
ScenarioRW:SizeMesocarnivore,1.0764524824559187,0.16856659090490642,0.7460680352856052,1.4068369296262322,6.3859183286395025,1.7037191671763426e-10,RW,Mesocarnivore
ScenarioPN:SizeMesoherbivore,2.1934216336177537,0.16577435490719622,1.8685098684392885,2.518333398796219,13.23136883775343,5.782456536367339e-40,PN,Mesoherbivore
ScenarioCU:SizeMesoherbivore,1.3648706724487971,0.1675558994739657,1.0364671440826105,1.6932742008149837,8.14576315566177,3.768972117757185e-16,CU,Mesoherbivore
ScenarioRW:SizeMesoherbivore,1.6978446671955456,0.1666688545978664,1.3711797148391844,2.024509619551907,10.186934273305317,2.268038683452382e-24,RW,Mesoherbivore
ScenarioPN:SizeMicrocarnivore,3.1075023265130204,0.16489764267326174,2.784308885737872,3.4306957672881686,18.845037904334482,3.227340014869164e-79,PN,Microcarnivore
ScenarioCU:SizeMicrocarnivore,3.0453105949552275,0.1649326669709177,2.72204850781809,3.368572682092365,18.46396260294634,4.0268534774422964e-76,CU,Microcarnivore
ScenarioRW:SizeMicrocarnivore,3.0846994688016447,0.16491014300220797,2.7614815278319673,3.407917409771322,18.705334994223758,4.479093109343939e-78,RW,Microcarnivore
ScenarioPN:SizeMicroherbivore,3.3364440828114055,0.16477498808850113,3.0134910406049267,3.6593971250178843,20.248486263093472,3.6632465032861995e-91,PN,Microherbivore
ScenarioCU:SizeMicroherbivore,3.3087922694393885,0.16478768835427618,2.9858143351693966,3.6317702037093804,20.07912303694578,1.123608292187946e-89,CU,Microherbivore
ScenarioRW:SizeMicroherbivore,3.3205896671377793,0.16478233553032795,2.9976222242099415,3.643557110065617,20.15136911642225,2.617732665097794e-90,RW,Microherbivore
