Pred_family,Prey_family
Felidae,Bovidae
Felidae,Equidae
Felidae,Suidae
Canidae,Bovidae
Canidae,Cervidae
Canidae,Sciuridae
Canidae,Geomyidae
Canidae,Chrysochloridae
Canidae,Peramelidae
Canidae,Macropodidae
Canidae,Tachyglossidae
Canidae,Phalangeridae
Felidae,Pedetidae
Felidae,Procaviidae
Felidae,Muridae
Hyaenidae,Bovidae
Hyaenidae,Suidae
Canidae,Suidae
Canidae,Muridae
Felidae,Cervidae
Felidae,Leporidae
Felidae,Geomyidae
Mustelidae,Sciuridae
Mustelidae,Cricetidae
Felidae,Hyaenidae
Felidae,Giraffidae
Felidae,Hippopotamidae
Felidae,Felidae
Felidae,Canidae
Felidae,Cercopithecidae
Cercopithecidae,Bovidae
Ursidae,Cervidae
Canidae,Leporidae
Canidae,Cricetidae
Canidae,Equidae
Hyaenidae,Equidae
Mustelidae,Muridae
Mustelidae,Procaviidae
Mustelidae,Nesomyidae
Mustelidae,Macroscelididae
Mustelidae,Gliridae
Mustelidae,Bathyergidae
Mustelidae,Leporidae
Mustelidae,Spalacidae
Mustelidae,Thryonomyidae
Erinaceidae,Muridae
Erinaceidae,Procaviidae
Erinaceidae,Nesomyidae
Erinaceidae,Macroscelididae
Erinaceidae,Gliridae
Erinaceidae,Bathyergidae
Erinaceidae,Leporidae
Erinaceidae,Spalacidae
Erinaceidae,Thryonomyidae
Herpestidae,Pteropodidae
Herpestidae,Muridae
Herpestidae,Procaviidae
Herpestidae,Leporidae
Herpestidae,Nesomyidae
Herpestidae,Macroscelididae
Herpestidae,Gliridae
Herpestidae,Bathyergidae
Herpestidae,Spalacidae
Herpestidae,Thryonomyidae
Cercopithecidae,Muridae
Cercopithecidae,Leporidae
Cercopithecidae,Procaviidae
Cercopithecidae,Nesomyidae
Cercopithecidae,Macroscelididae
Cercopithecidae,Gliridae
Cercopithecidae,Bathyergidae
Cercopithecidae,Spalacidae
Cercopithecidae,Thryonomyidae
Canidae,Procaviidae
Canidae,Nesomyidae
Canidae,Macroscelididae
Canidae,Gliridae
Canidae,Bathyergidae
Canidae,Spalacidae
Canidae,Thryonomyidae
Canidae,Erinaceidae
Felidae,Nesomyidae
Felidae,Macroscelididae
Felidae,Gliridae
Felidae,Bathyergidae
Felidae,Spalacidae
Felidae,Thryonomyidae
Canidae,Hystricidae
Canidae,Orycteropodidae
Hyaenidae,Muridae
Hyaenidae,Procaviidae
Hyaenidae,Leporidae
Hyaenidae,Cercopithecidae
Hyaenidae,Manidae
Hyaenidae,Hystricidae
Hyaenidae,Nesomyidae
Hyaenidae,Macroscelididae
Hyaenidae,Gliridae
Hyaenidae,Bathyergidae
Hyaenidae,Spalacidae
Hyaenidae,Thryonomyidae
Hyaenidae,Galagidae
Suidae,Muridae
Suidae,Procaviidae
Suidae,Nesomyidae
Suidae,Macroscelididae
Suidae,Gliridae
Suidae,Bathyergidae
Suidae,Leporidae
Suidae,Spalacidae
Suidae,Thryonomyidae
Muridae,Muridae
Muridae,Nesomyidae
Muridae,Macroscelididae
Muridae,Gliridae
Muridae,Bathyergidae
Muridae,Leporidae
Muridae,Spalacidae
Muridae,Thryonomyidae
Felidae,Hystricidae
Felidae,Orycteropodidae
Felidae,Manidae
Felidae,Galagidae
Felidae,Pteropodidae
Viverridae,Pteropodidae
Viverridae,Muridae
Viverridae,Procaviidae
Viverridae,Leporidae
Viverridae,Nesomyidae
Viverridae,Macroscelididae
Viverridae,Gliridae
Viverridae,Bathyergidae
Viverridae,Spalacidae
Viverridae,Thryonomyidae
Mustelidae,Pteropodidae
Nandiniidae,Pteropodidae
Nandiniidae,Muridae
Nandiniidae,Procaviidae
Nandiniidae,Leporidae
Nandiniidae,Nesomyidae
Nandiniidae,Macroscelididae
Nandiniidae,Gliridae
Nandiniidae,Bathyergidae
Nandiniidae,Spalacidae
Nandiniidae,Thryonomyidae
Galagidae,Muridae
Galagidae,Leporidae
Galagidae,Procaviidae
Galagidae,Nesomyidae
Galagidae,Macroscelididae
Galagidae,Gliridae
Galagidae,Bathyergidae
Galagidae,Spalacidae
Galagidae,Thryonomyidae
Viverridae,Erinaceidae
Mustelidae,Erinaceidae
Hyaenidae,Erinaceidae
Mustelidae,Bovidae
Mustelidae,Cervidae
Ursidae,Sciuridae
Ursidae,Bovidae
Felidae,Cricetidae
Felidae,Sciuridae
Canidae,Heteromyidae
Felidae,Heteromyidae
Canidae,Canidae
Canidae,Felidae
Herpestidae,Sciuridae
Felidae,Chrysochloridae
Felidae,Soricidae
Felidae,Mustelidae
